ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK,"41,39,30,28,26,24,22,20,18,16,15,14,13,11,7,5,2,1"
8170496,ORY001,,OH RICEY DRIED RICE NOODLE 500G,1,CASE,$68.00,18,NO,W22,
19781715,SAY017,,SAMYANG CHEESE BOWL 105G,2,CASE,$43.00,16,NO,W22,
8169512,SAY009,,SAMYANG BULDAK BOKKUMYUN CARBO M 130GX5,4,CASE,$70.00,8,NO,W22,
#N/A,SAY016,,BULDAK HOT CHICKEN CHEESE 700G,2,CASE,$61.50,8,NO,W22,
8170514,LZU002,,WATSON SLICED NOODLE 440G,1,CASE,$50.00,18,NO,W22,
8170545,LKK094,,LKK CHAR SIU SAUCE 320ML,1,CASE,$75.71,12,NO,W22,
19781889,LKK117,,LKK BROWN BRAISING SAUCE 410ML,1,CASE,$39.00,12,NO,W22,
19782059,LKK067,,LKK GUILIN CHILI SAUCE 226G,1,CASE,$46.37,12,NO,W22,
19782066,LKK001,,LKK PANDA OYSTER SAUCE 510G,1,CASE,$46.00,12,NO,W22,
8872125,LKK065,,LKK CHILI GARLIC SAUCE 226G,1,CASE,$40.00,12,NO,W22,
8173333,MAP001,,MAEPLOY COCONUT MILK CREAM 560ML,1,CASE,$85.00,24,NO,W22,
8170320,MAP004,,MAEPLOY CURRY PASTE GREEN 1KG,1,CASE,$92.00,12,NO,W22,
8170520,YNY058,,Y Y BRAND SEA GREENS SEAWEED SPICY 15G,1,CASE,$44.00,24,NO,W22,
8170514,LZU002,,WATSON SLICED NOODLE 440G,1,CASE,$50.00,18,NO,W20,
18256061,LZU001,,WATSON LANZHOU NOODLE 440G,1,CASE,$50.00,18,NO,W20,
8181044,OTH015,,KEWPIE MAYONNAISE 517ML,1,CASE,$157.00,20,NO,W20,
19550668,LKK057,,LKK SEASONED RICE VINEGAR 500ML,1,CASE,$33.00,12,NO,W20,
14811898,LKK090,,LKK PURE SESAME OIL 445ML,1,CASE,$97.14,12,NO,W20,
14722656,LKK029,,LKK SRIRACHA MAYO 445ML,1,CASE,$67.97,12,NO,W20,
16506758,MRN001,,MARUKAN GOURMET RICE VINEGAR 355ML,1,CASE,$43.00,12,NO,W20,
17307541,MRN002,,MARUKAN BREWED RICE VINEGAR 355ML,1,CASE,$42.00,12,NO,W20,
8170499,PGD001,,PAGODA SHAOXIN SALTED COOKING WINE 640ML,1,CASE,$38.00,12,NO,W20,
17468117,GLI014,,GLICO POCKY CRUNCHY STRAWBERRY 51G,2,CASE,$27.00,10,YES,W20,
10366453,GLI010,,GLICO POCKY CHOCOLATE 70G,2,CASE,$23.33,10,YES,W20,
15757552,GLI003,,GLICO POCKY CHOCOLATE SMALL 40G,2,CASE,$12.10,10,YES,W20,
18966469,GLI002,,GLICO POCKY CHOCOLATE BAG 156G,2,CASE,$20.00,5,YES,W20,
11639299,GLI005,,GLICO POCKY STRAWBERRY 33G,2,CASE,$12.00,10,YES,W20,
12765082,HTI001,,HAITAI HONEY BUTTER CHIPS 60G,1,CASE,$48.80,16,NO,W20,
19550734,NTC005,,NATURES CHARM COCONUT CUSTARD 400G,1,CASE,$85.00,24,NO,W20,
14902444,PAL002,,PALDO HWA RAMYUN HOT AND SPICY 600G,1,CASE,$30.00,4,NO,W20,
15016468,MMA003,,MAMA INST NOODLES CHICKEN FLAVOUR 55G,2,CASE,$16.80,24,NO,W20,
8169041,MMA001,,MAMA INST NOODLES PORK FLAVOUR 60G,2,CASE,$16.80,24,NO,W20,
18601471,VTS022,,VITASOY BLACK 6PACK,2,CASE,$36.00,8,NO,W18,
8170512,VTS025,,VITASOY MELON FLV SOYA DRINK 6PACK,2,CASE,$36.00,8,NO,W18,
12222935,VTS002,,VITASOY ORIGINAL 6PACK,2,CASE,$36.00,8,NO,W18,
15002674,VTS024,,VITASOY CHOCOLATE FLV SOY DRINK 6PACK,2,CASE,$36.00,8,NO,W18,
18502273,VTS009,,VITASOY COCONUT 6PACK,2,CASE,$36.00,8,NO,W18,
19276970,YNY066,,YY WHOLE WATER CHESTNUT 227G,1,CASE,$30.00,24,NO,W18,
17605284,WAN001,,WANT RICE CRACKER 92G,1,CASE,$51.00,20,NO,W18,
19277111,WAN002,,WANT CRISP RICE CRACKER ROUND 150G,1,CASE,$65.90,20,NO,W18,
8170497,OTH014,,ORION CUSTARD 276G,1,CASE,$56.50,8,NO,W18,
8170533,DNY003,,DYNASTY WATERCHESTNUT SLICED 227G,1,CASE,$19.00,12,NO,W18,
8170502,SNB001,,S B WASABI IN TUBE 43G,2,CASE,$23.00,10,YES,W18,
12532371,PRB007,,PRB DARK SOY SAUCE 500ML,1,CASE,$50.00,12,NO,W18,
8370478,PRB005,,PRB LIGHT SOY SAUCE 500ML,1,CASE,$35.00,12,NO,W18,
8170499,PGD001,,PAGODA SHAOXIN SALTED COOKING WINE 640ML,1,CASE,$38.00,12,NO,W18,
14722670,LKK087,,LKK 36OZ HOISIN SAUCE 797ML,2,CASE,$72.00,12,NO,W18,
19277000,CJO001,,DAESANG HOT PEPPER PASTE YELLOW LID 1KG,1,CASE,$140.00,12,NO,W18,
8169512,SAY009,,SAMYANG BULDAK BOKKUMYUN CARBO M 130GX5,2,CASE,$70.00,8,NO,W18,
8170496,ORY001,,OH RICEY DRIED RICE NOODLE 500G,1,CASE,$66.50,18,NO,W18,
9734766,INM001,,INDOMIE MI GORENG FRIED NOODLE 425G,1,CASE,$19.20,6,NO,W18,
12835559,,,HANAMARUKI SOYBEAN PASTE WHITE 500G,2,CASE,$27.00,6,NO,W16,
8170525,,,SAMBAL OELEK 213G,2,CASE,$62.40,24,NO,W16,
8170534,,,FISH SAUCE LUCKY 700ML,1,CASE,$19.20,12,NO,W16,
19036185,,,FARMER ROAST PEANUT 400G,1,CASE,$130.08,24,NO,W16,
19036588,,,YY SUSHI NORI 28G,1,CASE,$22.33,10,NO,W16,
19036199,,,CHEWY JAPANESE RAMEN NOODLES GREEN 800G,1,CASE,$48.50,12,NO,W16,
18737379,,,CHEWY JAPANESE UDON NOODLES 800G,1,CASE,$37.29,9,NO,W16,
19036205,,,SAMYANG CARBO BOWL 150G,1,CASE,$37.80,16,NO,W16,
18966461,,,NISSIN BEEF NOODLES MULTI 100GX5,1,CASE,$30.00,6,NO,W15,
18966469,,,GLICO POCKY CHOCOLATE BAG 156G,2,CASE,$21.50,10,NO,W15,
10366453,,,GLICO POCKY CHOCOLATE 70G,2,CASE,$23.33,20,NO,W15,
10366471,,,GLICO POCKY CHOCO BANANA 70G,2,CASE,$22.50,20,NO,W15,
15757620,,,GLICO POCKY COOKIES & CREAM 70G,2,CASE,$22.50,20,NO,W15,
17468117,,,GLICO POCKY CRUNCHY STRAWBERRY 51G,2,CASE,$27.00,20,NO,W15,
8170512,,,VITASOY MELON FLV SOYA DRINK 6PACK,2,CASE,$46.00,16,NO,W15,
15002674,,,VITASOY CHOCOLATE FLV SOY DRINK 6PACK,2,CASE,$44.00,16,NO,W15,
18502273,,,VITASOY COCONUT 6PACK,2,CASE,$42.00,16,NO,W15,
9734766,,,INDOMIE MI GORENG FRIED NOODLE 425G,2,CASE,$21.00,12,NO,W15,
19036393,,,HUY FONG SRIRACHA HOT CHILLI 433ML,2,CASE,$63.00,12,NO,W15,
18966548,,,TYJ PEANUT RICE BALL 200G,1,CASE,$45.00,24,NO,W15,
8181044,,,KEWPIE MAYONNAISE 517ML,1,CASE,$157.00,20,NO,W15,
18864458,NOS015,,NONGSHIM OOLONG NOODLE SEAFOOD 75G,1,CASE,$9.72,6,NO,W14,
#N/A,SAY016,,BULDAK HOT CHICKEN CHEESE 700G,2,CASE,$61.50,8,NO,W14,
8170504,SAY011,,SAMYANG HOT CHICK FLA RAM 2X SPICY 700G,2,CASE,$64.00,8,NO,W14,
18864464,KRI002,,KINJIRUSHI WASABI POWDER 25G,1,CASE,$30.00,10,NO,W14,
18864471,LKK006,,LKK PREMIUM OYSTER SAUCE 510G,1,CASE,$192.00,24,NO,W14,
18864483,LKK185,,LKK DUMPLING SAUCE 207ML,1,CASE,$65.06,12,NO,W14,
8370478,PRB005,,PRB LIGHT SOY SAUCE 500ML,1,CASE,$35.00,12,NO,W14,
14722656,LKK029,,LKK SRIRACHA MAYO 445ML,1,CASE,$67.00,12,NO,W14,
8170512,VTS025,,VITASOY MELON FLV SOYA DRINK 6PACK,3,CASE,$46.00,8,NO,W14,
18864495,LKK013,,LKK SRIRACHA CHILI SAUCE 445ML,1,CASE,$51.04,12,NO,W14,
8170510,VTS024,,VITASOY CHOCOLATE FLV SOY DRINK 250ML,2,CASE,$44.00,48,NO,W13,
8170504,SAY011,,SAMYANG HOT CHICK FLA RAM 2X SPICY 700G,1,CASE,$64.00,8,NO,W13,
12532371,PRB007,,PRB DARK SOY SAUCE 500ML,1,CASE,$50.00,12,NO,W13,
8170502,SNB001,,S B WASABI IN TUBE 43G,1,CASE,$23.00,10,NO,W13,
8170499,PGD001,,PAGODA SHAOXIN SALTED COOKING WINE 640ML,1,CASE,$42.00,12,NO,W13,
18094208,SHB008,,TYJ SESAME GLUT RICE BALL 200G,1,CASE,$45.00,24,NO,W13,
8169627,LOT009,,LOTTE MILKIS 1.5L,1,CASE,$54.00,12,YES,W13,
18767617,MPP001,,MARBLE POP GREEN APPLE DRINK 200ML,1,CASE,$36.00,12,YES,W13,
18767628,MPP004,,MARBLE POP BLUEBERRY 200ML,1,CASE,$35.00,12,YES,W13,
18737379,CHY002,,CHEWY JAPANESE UDON NOODLES 800G,1,CASE,$37.29,9,NO,W13,
18768073,ORY006,,OH RICEY PHO CHICKEN BOWL 65G,1,CASE,$21.00,12,NO,W13,
18768077,ORY002,,OH RICEY PHO BEEF BOWL 65G,1,CASE,$21.00,12,NO,W13,
10472728,,,LKK HOISIN SAUCE 443ML,1,CASE,$42.00,12,NO,W11,
18601471,,,VITASOY BLACK 6PACK,2,CASE,$36.00,8,NO,W11,
15002674,,,VITASOY CHOCOLATE FLV SOY DRINK 6PACK,2,CASE,$36.00,8,NO,W11,
12222935,,,VITASOY ORIGINAL 6PACK,2,CASE,$36.00,8,NO,W11,
15757675,,,WATSON LONG THIN NOODLE 440G,1,CASE,$51.30,18,NO,W11,
8170314,,,INDOMIE PEDAS HOT STIRFRY NDLS 5PACK 80G,2,CASE,$21.60,6,NO,W11,
15016482,,,INDOMIE MI BBQ CHICKEN FRIED NOODLE 425G,2,CASE,$19.20,6,NO,W11,
9734766,,,INDOMIE MI GORENG FRIED NOODLE 425G,2,CASE,$19.20,6,NO,W11,
18127362,,,LUCKY ME PANCIT CANTON KALAMANSI 360G,1,CASE,$43.20,12,NO,W11,
16980174,,,LUCKY ME PANCIT CANTON SWEET &SPICY 360G,1,CASE,$42.00,12,NO,W11,
18481495,,,LUCKY ME PANCIT CANTON ORI 360G,1,CASE,$43.20,12,NO,W11,
17189832,,,PALDO BUL NAK PAN STIR FRY NOODLES 4PKS,2,CASE,$25.00,4,NO,W11,
8170514,,,WATSON SLICED NOODLE 440G,1,CASE,$50.00,18,NO,W11,
18256061,,,WATSON LANZHOU NOODLE 440G,1,CASE,$50.00,18,NO,W11,
8170526,,,ABC SWEET SOY SAUCE 620ML,1,CASE,$85.68,12,NO,W11,
